A1	A2	B1	B2	Variable A	Variable B	Group	Group (base)	Method	Combination	ID A	ID B
C	16.0	O	3.0	C16 - Bug affecting documentation	O3 - # Discussants in other media [sum]	E	E	boxplots	CO	C16	O3
C	16.0	R	3.0	C16 - Bug affecting documentation	R3 - # Reviewers [sum]	E	E	boxplots	CR	C16	R3
C	16.0	R	5.0	C16 - Bug affecting documentation	R5 - # Review comments [sum]	E	E	boxplots	CR	C16	R5
C	16.0	R	6.0	C16 - Bug affecting documentation	R6 - # Rounds of code review [sum]	E	E	boxplots	CR	C16	R6
C	17.0	C	3.0	C17 - Refactorings	C3 - # Files changed	3.3	3	boxplots	CC	C17	C3
C	17.0	C	4.0	C17 - Refactorings	C4 - Commit file bugginess	31	31	boxplots	CC	C17	C4
C	17.0	C	5.0	C17 - Refactorings	C5 - Commit total line bugginess	31	31	boxplots	CC	C17	C5
C	17.0	C	6.0	C17 - Refactorings	C6 - Commit file line bugginess	31	31	boxplots	CC	C17	C6
C	17.0	F	4.0	C17 - Refactorings	F4 - # Bug discussants	31	31	boxplots	CF	C17	F4
C	17.0	F	9.0	C17 - Refactorings	F9 - # Bug comments [sum]	31	31	boxplots	CF	C17	F9
C	17.0	I	5.0	C17 - Refactorings	I5 - # Introducing issue discussants [sum]	31	31	boxplots	CI	C17	I5
