F1 - Bug ID,C1 - Commit revision hash,C3 - # Files changed,XC1 - Files found / Files expected,XC2 - Files found,XC3 - Files not found,XC4 - Files expected,XC5 - Lines added,XC6 - Lines deleted,C7 - Committer type,C4 - Commit file bugginess,C5 - Commit total line bugginess,C6 - Commit file line bugginess
NOVA 1403544,6956057ac490c788cb94fbfd0af7fe6e91a7ca96,7,1/1,nova/compute/api.py,,nova/compute/api.py,29,461,core,0.14285714285714285,0.4673469387755102,1.1009615384615385
NOVA 1403544 - CG,27d89c2d425aefcd32549b08e3cff8b132d3e75b,1,0/0,0,,,1,2,core,,,
NOVA 1419002,2ef03c6a0a8c5705249c3b5be755e0a13ca39332,2,0/2,0,"nova/virt/libvirt/driver.py
nova/compute/utils.py","nova/virt/libvirt/driver.py
nova/compute/utils.py",18,0,peripheral,0.0,0.0,0.0
NOVA 1419002 - CG,1e4024b72218a07d1e535878337547cf16406dd8,1,0/0,0,,,4,1,peripheral,,,
NOVA 1424647,d2cbb9adeaddefc00db430644e0d51b11ffb7600,4,4/4,"nova/cmd/baseproxy.py
nova/cmd/novncproxy.py
nova/cmd/serialproxy.py
nova/cmd/spicehtml5proxy.py",,"nova/cmd/baseproxy.py
nova/cmd/novncproxy.py
nova/cmd/serialproxy.py
nova/cmd/spicehtml5proxy.py",34,161,core,1.0,1.0,0.9154929577464789
NOVA 1424647 - CG,5ee83244f40f3d3c29bf47c5d86952bf53de1684,2,0/0,0,,,11,11,core,,,
NOVA 1434855,abc656d3d549c555cf7c94d0ae0e5d50768bd366,11,2/2,"doc/v3/api_samples/os-extended-volumes/v2.3/server-get-resp.json
doc/v3/api_samples/os-extended-volumes/v2.3/servers-detail-resp.json",,"doc/v3/api_samples/os-extended-volumes/v2.3/server-get-resp.json
doc/v3/api_samples/os-extended-volumes/v2.3/servers-detail-resp.json",412,21,peripheral,0.18181818181818182,0.30484988452655887,0.9850746268656716
NOVA 1434855 - CG,73515209cf09821a2fc922e1ae2c97650802fab4,2,0/0,0,,,34,2,core,,,
NOVA 1437855,1b2c121f133b15d0fe3f6ebdb131ac9998bc4b83,31,1/2,nova/api/openstack/compute/contrib/floating_ips.py,nova/api/openstack/compute/plugins/v3/floating_ips.py,"nova/api/openstack/compute/contrib/floating_ips.py
nova/api/openstack/compute/plugins/v3/floating_ips.py",311,14,core,0.03225806451612903,0.09230769230769231,0.08982035928143713
NOVA 1437855 - CG,7cef50ad800274cad3d07240cc468d038ce4031b,1,0/0,0,,,2,0,core,,,
NOVA 1438331,13e2bd02a5b50973f95eb3d8fc0af4e0702e3381,9,1/1,nova/virt/libvirt/rbd.py,,nova/virt/libvirt/rbd_utils.py,82,153,core,0.1111111111111111,0.19148936170212766,0.23316062176165803
NOVA 1438331 - CG,5876827d92bad3c408651184d9fea835639d8db8,2,0/0,0,,,27,1,core,,,
NOVA 1441000,7dd6a4a19311136c02d89cd2afd97236b0f4cc27,5,1/1,nova/virt/libvirt/driver.py,,nova/virt/libvirt/driver.py,758,99,core,0.2,0.2847141190198366,0.036846874056176385
NOVA 1441000 - CG,f90885bacba3728dc9a35e99eecef37a37b881e2,2,0/0,0,,,0,242,core,,,
NOVA 1443697,f3f1a53fe2bfe23229867c4a90f6456ac204181f,4,1/1,nova/virt/vmwareapi/vmops.py,,nova/virt/vmwareapi/vmops.py,318,417,core,0.25,0.23401360544217686,0.09701071630005641
NOVA 1443697 - CG,98dcd0dc6fe19ab243556874e4f0910e78484e02,3,0/0,0,,,37,6,peripheral,,,
NOVA 1443970,447641972539f1e13923c6ee5d64169f4229b856,2,1/1,nova/network/manager.py,,nova/network/manager.py,33,5,core,0.5,0.9210526315789473,0.017292490118577076
NOVA 1443970 - CG,995ee643f3291157151d195552232d09d471d8c2,2,0/0,0,,,174,42,core,,,
NOVA 1447249,1682c5b585835e151845c7f64a6c29bc21c29edc,2,1/1,nova/virt/ironic/driver.py,,nova/virt/ironic/driver.py,154,11,peripheral,0.5,0.37575757575757573,0.05783582089552239
NOVA 1447249 - CG,ce28166dcf25a3d589e6f020b2dfa64705d15126,1,0/0,0,,,6,6,core,,,
NOVA 1453274,60c90f73261efb8c73ecc02152307c81265cab13,2,1/1,nova/virt/libvirt/driver.py,,nova/virt/libvirt/driver.py,89,52,core,0.5,0.7659574468085106,0.020018535681186285
