F1 - Bug ID,I1 - Introducing issues IDs,I3 - Introducing issue severity [max],I4 - Introducing issue labels,I5.2 - Introducing issue reporter role [max],I5.3 - Introducing issue assignee role [max],I5.4 - Introducing issue creator role [max],I7 - # Introducing issue commits [sum],I9 - Introducing issue reopened [any],I5 - # Introducing issue discussants [sum],I5.1 - Introducing issue discussant roles,I10 - # Introducing issue comments [sum],I11 - # Introducing issue comments after closed (first) [sum],I12 - # Introducing issue comments after closed (last) [sum]
NOVA 1402728,,,,,,,,,,,,,
NOVA 1402728 - CG,['pci-passthrough-sriov'],Medium,[],core,core,,9.0,False,,,,,
NOVA 1403544,,,,,,,,,,,,,
NOVA 1403544 - CG,,,,,,,,,,,,,
NOVA 1419002,,,,,,,,,,,,,
NOVA 1419002 - CG,,,,,,,,,,,,,
NOVA 1424647,,,,,,,,,,,,,
NOVA 1424647 - CG,,,,,,,,,,,,,
NOVA 1434855,['ec2-api'],Medium,[],not involved,not involved,not involved,1.0,False,,,,,
NOVA 1434855 - CG,['v3-api-policy'],Medium,[],core,peripheral,core,62.0,False,,,,,
NOVA 1437855,['multi-nic-floating-ip-assignment'],Medium,[],core,core,,1.0,False,,,,,
NOVA 1437855 - CG,,,,,,,,,,,,,
NOVA 1438331,['1346092'],Undecided,[],core,core,core,2.0,False,4.0,"['core', 'not involved', 'core', 'not involved']",3.0,0.0,0.0
NOVA 1438331 - CG,['compute-manager-objects-juno'],High,[],peripheral,peripheral,peripheral,85.0,False,,,,,
NOVA 1441000,['1414065'],High,"['in-stable-juno', 'juno-backport-potential', 'libvirt']",core,core,core,3.0,False,4.0,"['not involved', 'not involved', 'not involved', 'core']",13.0,6.0,6.0
NOVA 1441000 - CG,,,,,,,,,,,,,
NOVA 1443697,"['1407438', '1407050', '1402784']",High,['vmware'],not involved,not involved,not involved,5.0,False,9.0,"['core', 'not involved', 'not involved', 'core', 'not involved', 'not involved', 'core', 'not involved', 'not involved']",19.0,0.0,0.0
NOVA 1443697 - CG,['v3-api-policy'],Medium,[],core,peripheral,core,62.0,False,,,,,
NOVA 1443970,['better-support-for-multiple-networks'],Low,[],core,core,core,12.0,False,,,,,
NOVA 1443970 - CG,,,,,,,,,,,,,
NOVA 1447249,['use-configdrive-with-ironic'],Low,[],peripheral,peripheral,peripheral,1.0,False,,,,,
NOVA 1447249 - CG,['kilo-objects'],High,[],peripheral,peripheral,peripheral,79.0,False,,,,,
NOVA 1453274,['1333827'],Undecided,"['libvirt', 'lxc']",not involved,,not involved,1.0,False,3.0,"['peripheral', 'not involved', 'not involved']",3.0,0.0,0.0
NOVA 1453274 - CG,['1348288'],Undecided,[],not involved,peripheral,not involved,1.0,False,3.0,"['not involved', 'peripheral', 'not involved']",6.0,0.0,0.0
NOVA 1466390,['instance-group-api-extension'],Medium,[],peripheral,not involved,peripheral,11.0,False,,,,,
NOVA 1466390 - CG,['1180178'],Critical,['baremetal'],peripheral,core,peripheral,4.0,False,3.0,"['core', 'peripheral', 'not involved']",8.0,0.0,0.0
NOVA 1467451,['hyper-v-smbfs-volume-support'],Low,[],peripheral,peripheral,peripheral,1.0,False,,,,,
NOVA 1467451 - CG,,,,,,,,,,,,,
NOVA 1475356,['1258256'],Medium,"['in-stable-havana', 'unified-objects']",peripheral,peripheral,peripheral,5.0,False,2.0,"['peripheral', 'not involved']",8.0,0.0,0.0
NOVA 1475356 - CG,,,,,,,,,,,,,
NOVA 1475911,['libvirt-lxc-user-namespaces'],Low,[],core,core,core,5.0,False,,,,,
NOVA 1475911 - CG,,,,,,,,,,,,,
NOVA 1481078,['1432913'],Low,[],peripheral,peripheral,peripheral,1.0,False,2.0,"['peripheral', 'not involved']",2.0,0.0,0.0
NOVA 1481078 - CG,['nova-no-downward-sql-migration'],High,[],not involved,core,not involved,2.0,False,,,,,
NOVA 1486541,"['icehouse-objects', 'clean-up-legacy-block-device-mapping']",Medium,[],core,core,core,57.0,False,,,,,
NOVA 1486541 - CG,"['icehouse-objects', 'compute-manager-objects']",Medium,[],peripheral,peripheral,peripheral,85.0,False,,,,,
NOVA 1505471,,,,,,,,,,,,,
NOVA 1505471 - CG,['scope-config-opts'],Medium,[],core,core,core,42.0,False,,,,,
